WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=177 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=185 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=193 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=201 L=4.29 R=4.69 expx=45.8
th=120 steer=11.0 ex=23.92cm ang=31.0deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=209 L=4.29 R=4.69 expx=45.8
th=120 steer=9.6 ex=0.78cm ang=-38.8deg z=135.3cm tg=0.00 mode=0 conf=0.24 lost=0 L=5.23 R=5.59 expx=1.8
th=120 steer=-1.1 ex=1.09cm ang=8.1deg z=125.1cm tg=0.00 mode=0 conf=0.48 lost=0 L=6.20 R=6.16 expx=2.2
th=120 steer=-6.8 ex=5.07cm ang=52.9deg z=129.3cm tg=0.00 mode=0 conf=0.27 lost=0 L=5.79 R=5.54 expx=10.5
th=120 steer=11.0 ex=6.20cm ang=50.3deg z=129.3cm tg=1.00 mode=1 conf=0.00 lost=7 L=4.29 R=4.69 expx=13.1
th=120 steer=11.0 ex=6.20cm ang=50.3deg z=129.3cm tg=1.00 mode=1 conf=0.00 lost=15 L=4.29 R=4.69 expx=13.1
th=120 steer=11.0 ex=6.20cm ang=50.3deg z=129.3cm tg=1.00 mode=1 conf=0.00 lost=23 L=4.29 R=4.69 expx=13.1
th=120 steer=11.9 ex=-4.15cm ang=-35.0deg z=135.3cm tg=0.00 mode=0 conf=0.31 lost=0 L=4.99 R=5.42 expx=-10.5
th=120 steer=1.1 ex=-3.51cm ang=16.9deg z=127.9cm tg=0.00 mode=0 conf=0.57 lost=0 L=6.16 R=6.20 expx=-8.2
th=120 steer=3.1 ex=-5.48cm ang=22.4deg z=126.5cm tg=0.00 mode=0 conf=0.52 lost=0 L=5.94 R=6.06 expx=-13.0
th=120 steer=4.1 ex=-6.39cm ang=20.5deg z=127.9cm tg=0.00 mode=0 conf=0.56 lost=0 L=5.83 R=5.98 expx=-15.0
th=120 steer=4.7 ex=-7.05cm ang=19.4deg z=129.3cm tg=0.00 mode=0 conf=0.60 lost=0 L=5.76 R=5.94 expx=-16.4
th=120 steer=5.4 ex=-7.51cm ang=17.6deg z=129.3cm tg=0.00 mode=0 conf=0.60 lost=0 L=5.69 R=5.89 expx=-17.5
th=120 steer=5.7 ex=-7.62cm ang=15.2deg z=130.8cm tg=0.00 mode=0 conf=0.63 lost=0 L=5.66 R=5.87 expx=-17.5
th=120 steer=6.3 ex=-7.03cm ang=5.8deg z=130.8cm tg=0.00 mode=0 conf=0.56 lost=0 L=5.59 R=5.82 expx=-16.2
th=120 steer=5.3 ex=-5.82cm ang=2.4deg z=132.3cm tg=0.00 mode=0 conf=0.50 lost=0 L=5.70 R=5.90 expx=-13.2
th=120 steer=3.7 ex=-5.61cm ang=11.9deg z=135.3cm tg=0.00 mode=0 conf=0.42 lost=0 L=5.88 R=6.01 expx=-12.0
th=120 steer=4.2 ex=-6.21cm ang=15.4deg z=135.3cm tg=0.00 mode=0 conf=0.44 lost=0 L=5.82 R=5.98 expx=-13.8
th=120 steer=4.8 ex=-6.58cm ang=12.6deg z=135.3cm tg=0.00 mode=0 conf=0.52 lost=0 L=5.75 R=5.93 expx=-14.5
th=120 steer=4.9 ex=-6.48cm ang=10.8deg z=135.3cm tg=0.00 mode=0 conf=0.60 lost=0 L=5.74 R=5.93 expx=-14.4
th=120 steer=4.9 ex=-6.18cm ang=8.6deg z=135.3cm tg=0.00 mode=0 conf=0.66 lost=0 L=5.75 R=5.93 expx=-13.6
th=120 steer=4.7 ex=-5.74cm ang=6.7deg z=135.3cm tg=0.00 mode=0 conf=0.73 lost=0 L=5.76 R=5.94 expx=-12.8
th=120 steer=4.3 ex=-5.14cm ang=5.8deg z=135.3cm tg=0.00 mode=0 conf=0.80 lost=0 L=5.81 R=5.97 expx=-11.5
th=120 steer=3.8 ex=-4.58cm ang=4.9deg z=135.3cm tg=0.00 mode=0 conf=0.85 lost=0 L=5.87 R=6.01 expx=-10.0
th=120 steer=3.4 ex=-4.04cm ang=4.3deg z=135.3cm tg=0.00 mode=0 conf=0.91 lost=0 L=5.90 R=6.03 expx=-9.0
