WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=12 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=20 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=28 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=36 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=44 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=52 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=60 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=68 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=76 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=84 L=4.09 R=4.49 expx=36.5
th=120 steer=11.0 ex=19.33cm ang=-39.5deg z=159.0cm tg=1.00 mode=1 conf=0.00 lost=92 L=4.09 R=4.49 expx=36.5
